Dataset,Cond_Size,Ridge,k,Learn_A,Norm,Epoch,Acc,Std.
ogbn-arxiv,909,1e-1,1,1,0,25,63.19,0.15
ogbn-arxiv,909,1e-1,1,1,1,25,64.21,0.30
ogbn-arxiv,909,1e-1,2,0,0,133,65.40,0.08
ogbn-arxiv,909,1e-1,2,0,1,39,65.33,0.15
ogbn-arxiv,909,1e-1,2,1,0,183,65.09,0.03
ogbn-arxiv,909,1e-1,2,1,1,147,64.34,0.15
ogbn-arxiv,909,1e-1,3,0,0,133,64.99,0.08
ogbn-arxiv,909,1e-1,3,0,1,101,64.95,0.18
ogbn-arxiv,909,1e-1,3,1,0,198,61.51,0.78
ogbn-arxiv,909,1e-1,3,1,1,200,61.48,0.73
ogbn-arxiv,909,1e-1,4,0,0,133,64.49,0.10
ogbn-arxiv,909,1e-1,4,0,1,78,64.38,0.10
ogbn-arxiv,909,1e-1,4,1,0,70,36.79,0.88
ogbn-arxiv,909,1e-1,4,1,1,184,23.84,15.70
ogbn-arxiv,909,5e-1,1,0,0,72,64.17,0.12
ogbn-arxiv,909,5e-1,1,0,1,33,64.02,0.12
ogbn-arxiv,909,5e-1,1,1,0,43,62.73,0.11
ogbn-arxiv,909,5e-1,1,1,1,35,64.02,0.18
ogbn-arxiv,909,5e-1,2,0,0,174,65.46,0.08
ogbn-arxiv,909,5e-1,2,0,1,31,65.33,0.05
ogbn-arxiv,909,5e-1,2,1,0,187,64.59,0.20
ogbn-arxiv,909,5e-1,2,1,1,187,65.26,0.25
ogbn-arxiv,909,5e-1,3,0,0,162,65.08,0.25
ogbn-arxiv,909,5e-1,3,0,1,45,64.96,0.29
ogbn-arxiv,909,5e-1,3,1,0,198,61.42,0.38
ogbn-arxiv,909,5e-1,3,1,1,199,56.09,0.36
ogbn-arxiv,909,5e-1,4,0,0,162,64.55,0.18
ogbn-arxiv,909,5e-1,4,0,1,64,64.44,0.43
ogbn-arxiv,909,5e-1,4,1,0,132,35.72,0.74
ogbn-arxiv,909,5e-1,4,1,1,200,18.58,8.75
ogbn-arxiv,909,1e0,1,0,0,72,64.19,0.10
ogbn-arxiv,909,1e0,1,0,1,33,64.02,0.02
ogbn-arxiv,909,1e0,1,1,0,43,62.49,0.04
ogbn-arxiv,909,1e0,1,1,1,50,63.80,0.22
ogbn-arxiv,909,1e0,2,0,0,196,65.42,0.12
ogbn-arxiv,909,1e0,2,0,1,31,65.39,0.03
ogbn-arxiv,909,1e0,2,1,0,199,64.50,0.24
ogbn-arxiv,909,1e0,2,1,1,109,64.25,0.40
ogbn-arxiv,909,1e0,3,0,0,106,65.03,0.06
ogbn-arxiv,909,1e0,3,0,1,44,64.96,0.13
ogbn-arxiv,909,1e0,3,1,0,196,63.24,0.10
ogbn-arxiv,909,1e0,3,1,1,178,53.35,0.10
ogbn-arxiv,909,1e0,4,0,0,162,64.58,0.16
ogbn-arxiv,909,1e0,4,0,1,63,64.44,0.25
ogbn-arxiv,909,1e0,4,1,0,140,35.14,1.68
ogbn-arxiv,909,1e0,4,1,1,199,18.70,8.93
ogbn-arxiv,909,5,1,0,0,73,64.12,0.27
ogbn-arxiv,909,5,1,0,1,67,64.01,0.03
ogbn-arxiv,909,5,1,1,0,128,62.61,0.13
ogbn-arxiv,909,5,1,1,1,70,63.22,0.25
ogbn-arxiv,909,5,2,0,0,78,65.55,0.06
ogbn-arxiv,909,5,2,0,1,62,65.40,0.08
ogbn-arxiv,909,5,2,1,0,197,65.15,0.22
ogbn-arxiv,909,5,2,1,1,164,61.72,0.21
ogbn-arxiv,909,5,3,0,0,163,65.10,0.09
ogbn-arxiv,909,5,3,0,1,84,65.01,0.03
ogbn-arxiv,909,5,3,1,0,199,56.28,1.21
ogbn-arxiv,909,5,3,1,1,195,41.11,3.08
ogbn-arxiv,909,5,4,0,0,170,64.57,0.21
ogbn-arxiv,909,5,4,0,1,162,64.46,0.21
ogbn-arxiv,909,5,4,1,0,181,35.41,3.24
ogbn-arxiv,909,5,4,1,1,5,16.96,9.42
