Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Citeseer,0.5,1e-3,1,1,128,70.16,0.57,1.140
Citeseer,0.5,1e-3,2,0,57,71.38,1.40,0.876
Citeseer,0.5,1e-3,2,1,118,67.28,1.75,0.943
Citeseer,0.5,1e-3,3,0,57,70.96,1.22,0.958
Citeseer,0.5,1e-3,3,1,117,66.24,0.74,1.035
Citeseer,0.5,1e-3,4,0,50,71.38,0.80,1.113
Citeseer,0.5,1e-3,4,1,111,62.80,2.21,0.900
Citeseer,0.5,1e-3,5,0,53,71.60,0.25,0.574
Citeseer,0.5,1e-3,5,1,193,50.02,6.68,1.512
Citeseer,0.5,1e-2,1,0,68,70.56,0.75,1.085
Citeseer,0.5,1e-2,1,1,114,70.40,0.67,0.968
Citeseer,0.5,1e-2,2,0,91,72.08,0.43,1.282
Citeseer,0.5,1e-2,2,1,79,68.42,2.19,0.754
Citeseer,0.5,1e-2,3,0,69,71.80,0.45,1.269
Citeseer,0.5,1e-2,3,1,138,64.98,1.21,1.214
Citeseer,0.5,1e-2,4,0,68,71.78,0.81,1.139
Citeseer,0.5,1e-2,4,1,175,60.44,3.71,1.491
Citeseer,0.5,1e-2,5,0,69,72.26,0.64,0.745
Citeseer,0.5,1e-2,5,1,197,34.02,3.01,1.565
Citeseer,0.5,1e-1,1,0,74,70.80,0.34,1.033
Citeseer,0.5,1e-1,1,1,106,70.10,1.28,0.953
Citeseer,0.5,1e-1,2,0,82,72.24,1.06,1.199
Citeseer,0.5,1e-1,2,1,114,67.76,2.58,0.947
Citeseer,0.5,1e-1,3,0,78,71.96,1.14,1.142
Citeseer,0.5,1e-1,3,1,149,67.92,2.32,1.290
Citeseer,0.5,1e-1,4,0,81,71.68,0.60,1.090
Citeseer,0.5,1e-1,4,1,200,49.74,5.18,1.684
Citeseer,0.5,1e-1,5,0,80,72.40,1.26,0.720
Citeseer,0.5,1e-1,5,1,200,30.48,1.45,1.623
Citeseer,0.5,5e-1,1,0,79,70.58,0.32,1.242
Citeseer,0.5,5e-1,1,1,129,69.78,0.79,1.078
Citeseer,0.5,5e-1,2,0,93,72.80,0.58,1.670
Citeseer,0.5,5e-1,2,1,149,69.74,1.51,1.255
Citeseer,0.5,5e-1,3,0,75,71.42,0.29,1.189
Citeseer,0.5,5e-1,3,1,200,56.26,8.05,1.456
Citeseer,0.5,5e-1,4,0,93,72.44,0.96,1.260
Citeseer,0.5,5e-1,4,1,159,31.90,3.44,1.267
Citeseer,0.5,5e-1,5,0,90,72.30,1.17,0.849
Citeseer,0.5,5e-1,5,1,163,30.90,4.53,1.301
Citeseer,0.5,1e0,1,0,95,71.00,0.48,1.502
Citeseer,0.5,1e0,1,1,141,70.12,0.62,1.038
Citeseer,0.5,1e0,2,0,96,71.72,0.46,1.518
Citeseer,0.5,1e0,2,1,183,70.20,1.72,1.425
