Dataset,Model,Cond_ratio,Learn_A,k,Epoch,Mean_Acc,Std.,Best_Acc
Citeseer,SAGE,0.5,0,1,327,0.6040,0.0136,0.652
Citeseer,SAGE,0.5,1,1,381,0.6954,0.0032,0.703
Citeseer,SAGE,0.5,0,2,327,0.6062,0.0134,0.649
Citeseer,SAGE,0.5,1,2,387,0.7000,0.0043,0.706
Citeseer,SAGE,0.5,0,3,327,0.6080,0.0165,0.648
Citeseer,SAGE,0.5,1,3,366,0.7004,0.0018,0.703
Citeseer,SAGE,0.5,0,4,327,0.6090,0.0190,0.65
Citeseer,SAGE,0.5,1,4,364,0.6994,0.0021,0.703
Citeseer,SAGE,0.5,0,5,327,0.6056,0.0179,0.649
Citeseer,SAGE,0.5,1,5,365,0.6996,0.0024,0.704
Citeseer,SAGE,1.0,0,1,217,0.6668,0.0050,0.681
Citeseer,SAGE,1.0,1,1,361,0.6624,0.0163,0.681
Citeseer,SAGE,1.0,0,2,66,0.6674,0.0075,0.683
Citeseer,SAGE,1.0,1,2,377,0.6646,0.0159,0.681
Citeseer,SAGE,1.0,0,3,76,0.6670,0.0073,0.687
Citeseer,SAGE,1.0,1,3,135,0.6660,0.0139,0.682
Citeseer,SAGE,1.0,0,4,76,0.6664,0.0058,0.69
Citeseer,SAGE,1.0,1,4,143,0.6654,0.0156,0.685
Citeseer,SAGE,1.0,0,5,74,0.6658,0.0055,0.692
Citeseer,SAGE,1.0,1,5,394,0.6638,0.0165,0.684
Citeseer,APPNP,0.25,0,1,326,0.6494,0.0114,0.668
Citeseer,APPNP,0.25,1,1,340,0.6726,0.0133,0.683
Citeseer,APPNP,0.25,0,2,371,0.6494,0.0161,0.67
Citeseer,APPNP,0.25,1,2,329,0.6736,0.0093,0.685
Citeseer,APPNP,0.25,0,3,371,0.6476,0.0129,0.667
Citeseer,APPNP,0.25,1,3,328,0.6730,0.0097,0.686
Citeseer,APPNP,0.25,0,4,372,0.6474,0.0118,0.666
Citeseer,APPNP,0.25,1,4,327,0.6726,0.0068,0.682
Citeseer,APPNP,0.25,0,5,367,0.6466,0.0141,0.667
Citeseer,APPNP,0.25,1,5,329,0.6710,0.0071,0.679
Citeseer,APPNP,0.5,0,1,63,0.5932,0.0129,0.62
Citeseer,APPNP,0.5,1,1,400,0.6796,0.0047,0.688
Citeseer,APPNP,0.5,0,2,61,0.6024,0.0127,0.628
Citeseer,APPNP,0.5,1,2,387,0.6836,0.0087,0.695
Citeseer,APPNP,0.5,0,3,61,0.6076,0.0143,0.627
Citeseer,APPNP,0.5,1,3,331,0.6854,0.0036,0.692
Citeseer,APPNP,0.5,0,4,62,0.6102,0.0161,0.628
Citeseer,APPNP,0.5,1,4,386,0.6870,0.0026,0.691
Citeseer,APPNP,0.5,0,5,62,0.6120,0.0164,0.632
Citeseer,APPNP,0.5,1,5,386,0.6880,0.0029,0.693
Citeseer,APPNP,1.0,0,1,42,0.6588,0.0077,0.673
Citeseer,APPNP,1.0,1,1,400,0.6506,0.0097,0.662
Citeseer,APPNP,1.0,0,2,43,0.6608,0.0047,0.678
Citeseer,APPNP,1.0,1,2,375,0.6574,0.0088,0.666
Citeseer,APPNP,1.0,0,3,41,0.6616,0.0046,0.679
Citeseer,APPNP,1.0,1,3,398,0.6594,0.0080,0.669
Citeseer,APPNP,1.0,0,4,36,0.6628,0.0041,0.679
Citeseer,APPNP,1.0,1,4,387,0.6606,0.0075,0.673
Citeseer,APPNP,1.0,0,5,42,0.6636,0.0096,0.676
Citeseer,APPNP,1.0,1,5,397,0.6614,0.0089,0.675
Citeseer,Cheby,0.25,0,1,388,0.6458,0.0173,0.665
Citeseer,Cheby,0.25,1,1,332,0.6490,0.0297,0.67
Citeseer,Cheby,0.25,0,2,340,0.6514,0.0185,0.674
Citeseer,Cheby,0.25,1,2,373,0.6600,0.0273,0.68
Citeseer,Cheby,0.25,0,3,360,0.6548,0.0181,0.677
Citeseer,Cheby,0.25,1,3,364,0.6636,0.0251,0.678
Citeseer,Cheby,0.25,0,4,386,0.6550,0.0182,0.674
Citeseer,Cheby,0.25,1,4,395,0.6630,0.0240,0.681
Citeseer,Cheby,0.25,0,5,392,0.6544,0.0187,0.675
Citeseer,Cheby,0.25,1,5,373,0.6624,0.0219,0.679
Citeseer,Cheby,0.5,0,1,257,0.5618,0.0312,0.593
Citeseer,Cheby,0.5,1,1,396,0.6594,0.0088,0.672
Citeseer,Cheby,0.5,0,2,395,0.5756,0.0266,0.603
Citeseer,Cheby,0.5,1,2,396,0.6744,0.0099,0.691
Citeseer,Cheby,0.5,0,3,246,0.5812,0.0284,0.611
Citeseer,Cheby,0.5,1,3,392,0.6760,0.0095,0.692
Citeseer,Cheby,0.5,0,4,387,0.5850,0.0289,0.617
Citeseer,Cheby,0.5,1,4,398,0.6764,0.0145,0.698
Citeseer,Cheby,0.5,0,5,261,0.5882,0.0280,0.624
Citeseer,Cheby,0.5,1,5,384,0.6754,0.0154,0.7
Citeseer,Cheby,1.0,0,1,335,0.6184,0.0302,0.647
Citeseer,Cheby,1.0,1,1,393,0.5904,0.0094,0.602
Citeseer,Cheby,1.0,0,2,351,0.6382,0.0345,0.664
Citeseer,Cheby,1.0,1,2,399,0.6062,0.0098,0.619
Citeseer,Cheby,1.0,0,3,342,0.6398,0.0323,0.67
Citeseer,Cheby,1.0,1,3,397,0.6064,0.0118,0.624
Citeseer,Cheby,1.0,0,4,247,0.6414,0.0318,0.672
Citeseer,Cheby,1.0,1,4,400,0.6078,0.0100,0.629
Citeseer,Cheby,1.0,0,5,368,0.6420,0.0316,0.674
Citeseer,Cheby,1.0,1,5,400,0.6082,0.0106,0.627
Citeseer,MLP,0.25,0,1,400,0.6500,0.0068,0.663
Citeseer,MLP,0.25,1,1,396,0.6590,0.0058,0.665
Citeseer,MLP,0.25,0,2,392,0.6544,0.0121,0.669
Citeseer,MLP,0.25,1,2,399,0.6726,0.0065,0.68
Citeseer,MLP,0.25,0,3,400,0.6578,0.0117,0.673
Citeseer,MLP,0.25,1,3,343,0.6774,0.0079,0.686
Citeseer,MLP,0.25,0,4,400,0.6566,0.0111,0.671
Citeseer,MLP,0.25,1,4,382,0.6756,0.0067,0.686
Citeseer,MLP,0.25,0,5,377,0.6548,0.0112,0.669
Citeseer,MLP,0.25,1,5,398,0.6758,0.0061,0.683
Citeseer,MLP,0.5,0,1,180,0.5822,0.0142,0.599
Citeseer,MLP,0.5,1,1,386,0.6692,0.0033,0.674
Citeseer,MLP,0.5,0,2,359,0.5956,0.0097,0.611
Citeseer,MLP,0.5,1,2,399,0.6866,0.0044,0.691
Citeseer,MLP,0.5,0,3,354,0.6046,0.0109,0.621
Citeseer,MLP,0.5,1,3,396,0.6854,0.0052,0.691
Citeseer,MLP,0.5,0,4,359,0.6116,0.0113,0.628
Citeseer,MLP,0.5,1,4,322,0.6888,0.0034,0.693
Citeseer,MLP,0.5,0,5,390,0.6156,0.0114,0.634
Citeseer,MLP,0.5,1,5,379,0.6886,0.0039,0.695
Citeseer,MLP,1.0,0,1,44,0.6394,0.0049,0.65
Citeseer,MLP,1.0,1,1,385,0.6296,0.0032,0.636
Citeseer,MLP,1.0,0,2,45,0.6560,0.0051,0.671
